"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","arch","aug_plus","batch_size","checkpoint_fp","checkpoint_interval","cos","custom_aug_name","data","dataid","dataset","dist_backend","dist_url","distributed","epochs","evaluate","faa_aug","gauss","gpu","id","image_log_interval","kfold","lcls_arch","lcls_batch_size","lcls_checkpoint_fp","lcls_checkpoint_interval","lcls_data","lcls_dataid","lcls_dist_backend","lcls_dist_url","lcls_distributed","lcls_epochs","lcls_evaluate","lcls_gpu","lcls_id","lcls_kfold","lcls_loss_prefix","lcls_lr","lcls_mlp","lcls_momentum","lcls_multiprocessing_distributed","lcls_name","lcls_notes","lcls_pretrained","lcls_print_freq","lcls_randomcrop","lcls_rank","lcls_resume","lcls_schedule","lcls_start_epoch","lcls_task","lcls_wandbproj","lcls_weight_decay","lcls_workers","lcls_world_size","lr","mlp","moco_dim","moco_k","moco_m","moco_t","momentum","multiprocessing_distributed","name","no_gauss","nomoco","notes","pretrained","print_freq","rand_aug","rand_aug_linear_m","rand_aug_m","rand_aug_m_max","rand_aug_m_min","rand_aug_n","rand_aug_orig","rand_aug_top_k","rand_resize_only","randomcrop","rank","resume","rotnet","rotnet_mlp","schedule","seed","single_aug_idx","start_epoch","upload_checkpoints","wandbproj","weight_decay","workers","world_size","100epoch-val-classify","100epoch-val-rotation","100epochLinCls Acc@1","100epochLinCls Acc@5","100epochLinCls Data","100epochLinCls Loss","100epochLinCls Time","100epochRot Train Loss","Acc@1","Acc@5","Data","LinCls Acc@1","LinCls Acc@5","LinCls Data","LinCls Loss","LinCls Time","Loss","MOCO Loss","Rot Loss","Rot Train Loss","Rot Val Loss","Time","epoch","example images","learning rate","meter","val-acc1","val-classify","val-mlp-rotation","val-rotation"
"QiTHX_500epochs_512bsz_0.4000lr_mlp_cos_randaug","QiTHXXYiV0ttDD1JlNqhRmzCnZivrktl","QiTHX_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=5 N=1","cjrd","","2020-05-02T02:46:37.000Z","486399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=5 N=1","","","true","","5","","","1","","","","","","","","","","","","","","","","","","54.209999084472656","51.42749786376953","48.729957580566406","90.97472381591795","0.0621408230347159","2.516815980067428","0.43532256680633385","0","40.35027694702149","70.51854705810547","0.30096444192823474","","","","","","7.253271108145242","","","0","","0.7626801978100787","","","","","","83.7699966430664","","62.70249938964844"
"blFyp_500epochs_512bsz_0.4000lr_mlp_cos_randaug","blFypnCGwV87MNGfp45MuuP1nROKTfhn","blFyp_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=7 N=1","cjrd","","2020-05-01T17:03:24.000Z","554122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=7 N=1","","","true","","7","","","1","","","","","","","","","","","","","","","","","","54.119998931884766","51.40250015258789","48.48044967651367","90.98290252685548","0.04510250266309808","2.463626322321866","0.319006042330677","0","36.49553680419922","62.113670349121094","0.3820970006041474","","","","","","7.453083059289953","","","0","","0.9897083712148144","","","","","","80.52999877929688","","61.689998626708984"
"fIKIb_500epochs_512bsz_0.4000lr_mlp_cos_randaug","fIKIb72JRKSDGQ4faETLnjZJlZYxu4px","fIKIb_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=4 N=1","cjrd","","2020-05-01T16:38:01.000Z","551238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=4 N=1","","","true","","4","","","1","","","","","","","","","","","","","","","","","","54.369998931884766","52.2349967956543","49.90796661376953","91.76415252685548","0.05080495454878083","2.2227348363836397","0.4169554473217869","0","41.62946701049805","72.3128433227539","0.32042895830594575","","","","","","7.210367611476353","","","0","","0.7896034638960283","","","","","","82.40999603271484","","62.40999984741211"
"trkMe_500epochs_512bsz_0.4000lr_mlp_cos_randaug","trkMeujhibPa5dVdHj19u0rb2gw3INfd","trkMe_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=9 N=1","cjrd","","2020-05-02T06:20:22.000Z","577259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=9 N=1","","","true","","9","","","1","","","","","","","","","","","","","","","","","","53.66999816894531","51.619998931884766","47.50286483764648","90.71294403076172","0.02545440009751245","2.2215279028677815","0.19291826692551217","0","34.589630126953125","57.01408004760742","0.3869688589494306","","","","","","8.190863541194371","","","0","","0.6907773777678773","","","","","","83.72000122070312","","64.11499786376953"
"wXh8U_500epochs_512bsz_0.4000lr_mlp_cos_randaug","wXh8UyIAQM4FkDS3grG5UbC1wR6q0vI5","wXh8U_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=11 N=1","cjrd","","2020-05-02T18:02:28.000Z","433401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=11 N=1","","","true","","11","","","1","","","","","","","","","","","","","","","","","","54.66999816894531","52.21999740600586","50.03886032104492","91.72120666503906","0.07482253693785343","1.9274569799762744","0.3881918797318224","0","33.585166931152344","55.391483306884766","0.38492946310357734","","","","","","8.272705135764657","","","0","","0.7383854127192235","","","","","","83.6500015258789","","64.58999633789062"
"BpfFv_500epochs_512bsz_0.4000lr_mlp_cos_randaug","BpfFvCsF2iT2dmXp5Iq6d7UGOAoh0UXB","BpfFv_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=11 N=2","cjrd","","2020-04-29T21:55:29.000Z","711002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=11 N=2","","","true","","11","","","2","","","","","","","","","","","","","","","","","","43.29999923706055","45.349998474121094","37.22799301147461","85.29327392578125","0.047284395906937685","2.500361036879854","0.24306956136413893","0","11.821772575378418","22.450206756591797","0.4384023069025396","","","","","","9.313369887215751","","","0","","1.4599510444389594","","","","","","80.15999603271484","","62.63999938964844"
"MT4WV_500epochs_512bsz_0.4000lr_mlp_cos_randaug","MT4WV07bXuYASx9kv7tyJWaAjUsT9s0E","MT4WV_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=4 N=2","cjrd","","2020-04-29T21:12:11.000Z","579481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","4","","","2","","","","","","","","","","","","","","","","","","45.90999984741211","46.772499084472656","41.303993225097656","87.49591064453125","0.025256220582892133","4.210979123390158","0.3202503239297118","0","27.60988998413086","50.351993560791016","0.3062555868547041","","","","","","7.722209354023357","","","0","","0.7870340583088634","","","","","","85.65999603271484","","65.2449951171875"
"Poxs6_500epochs_512bsz_0.4000lr_mlp_cos_randaug","Poxs6u70JslhAcFehETQgcGN0w1KU8gb","Poxs6_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=5 N=2","cjrd","","2020-04-29T21:17:32.000Z","614759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=5 N=2","","","true","","5","","","2","","","","","","","","","","","","","","","","","","53.19999694824219","51.52000045776367","46.44756317138672","89.91123962402344","0.01884230269187408","3.828629502451233","0.18870071341229985","0","23.918270111083984","43.61263656616211","0.3077367635873648","","","","","","7.889455611889179","","","0","","0.7722171453329233","","","","","","85.2699966430664","","66.08499908447266"
"QN4Q3_500epochs_512bsz_0.4000lr_mlp_cos_randaug","QN4Q3aovO3pC9pbnQ6o72EfW7uPkSVZP","QN4Q3_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=9 N=2","cjrd","","2020-04-30T20:52:04.000Z","591228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=9 N=2","","","true","","9","","","2","","","","","","","","","","","","","","","","","","43.939998626708984","43.64249801635742","37.70247268676758","85.39348602294922","0.0531763830734173","3.2200445329955736","0.406566094353561","0","13.212569236755373","24.21875","0.4469240026159601","","","","","","9.287402236854636","","","0","","1.485528180887411","","","","","","78.97999572753906","","62.23249816894531"
"dP8LX_500epochs_512bsz_0.4000lr_mlp_cos_randaug","dP8LXLiZI9AP4ZAHFI88jPyJdcHwuXuN","dP8LX_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=7 N=2","cjrd","","2020-04-29T21:43:43.000Z","581186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100epoch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=7 N=2","","","true","","7","","","2","","","","","","","","","","","","","","","","","","43.2599983215332","45.09000015258789","37.663612365722656","86.03771209716797","0.03178999061983918","3.426312837301124","0.3507192684093695","0","17.608173370361328","31.559066772460938","0.5272636361174531","","","","","","8.273206700335493","","","0","","0.9609562381283268","","","","","","79.8699951171875","","64.07499694824219"
